1991-354-s102-b037,1:05:00,65,6,6,45,70,35,45,8,25,6,7,43,70,10,30,13,23,4,5,9,10,23,53,66,123,3,3,30,53,20,30,10,23,1,5,30,53,10,45,17,25,1,7,10,9,27,70,57,123
1991-301-f031-s014,1:27:00,87,3,5,42,71,28,42,16,29,0,2,44,71,15,41,10,16,4,8,10,10,25,57,69,128,1,0,41,57,26,41,6,16,4,8,32,57,14,42,13,29,2,2,10,10,27,71,59,128
1991-301-n025-f031,2:04:00,124,5,3,41,78,32,41,23,37,0,2,55,78,17,55,18,36,2,5,12,12,35,91,90,169,4,3,55,91,38,55,18,36,3,5,56,91,9,41,14,37,2,2,12,12,23,78,79,169
1991-301-v002-k030,2:10:00,130,8,8,51,104,35,51,31,53,9,12,66,104,17,55,18,31,4,11,15,14,35,86,101,190,5,1,55,86,38,55,13,31,7,11,51,86,16,51,22,53,3,12,14,15,38,104,89,190
1991-301-f031-m035,2:09:00,129,6,3,46,89,36,46,18,43,5,8,54,89,16,48,17,39,4,8,14,14,33,87,87,176,5,0,48,87,32,48,22,39,4,8,54,87,10,46,25,43,3,8,14,14,35,89,89,176
1991-301-n025-v002,1:54:00,114,3,2,47,86,30,47,24,39,4,6,54,86,8,34,21,35,5,6,13,13,29,69,83,155,5,2,34,69,26,34,14,35,1,6,40,69,17,47,15,39,2,6,13,13,32,86,72,155
1991-301-b040-a199,2:22:00,142,2,2,82,108,48,82,14,26,8,13,62,108,25,64,24,45,6,16,15,16,49,109,111,217,2,7,64,109,39,64,21,45,10,16,60,109,34,82,12,26,5,13,16,15,46,108,106,217
1991-301-k030-a028,2:15:00,135,7,2,55,96,34,55,22,41,3,7,56,96,18,59,28,49,5,6,16,16,46,108,102,204,6,5,59,108,41,59,21,49,1,6,62,108,21,55,19,41,4,7,16,16,40,96,102,204
1991-301-s014-f192,1:03:00,63,1,0,0,53,30,37,7,16,5,6,37,53,13,30,9,16,4,6,9,8,22,46,59,99,3,0,30,46,17,30,7,16,2,6,24,46,7,37,9,16,1,6,8,9,16,53,40,99
1991-301-j084-c009,2:25:00,145,4,2,71,112,50,71,16,41,11,16,66,112,19,54,36,73,5,18,17,16,55,127,121,239,10,5,54,127,35,54,37,73,13,18,72,127,21,71,25,41,5,16,16,17,46,112,118,239
1991-301-v002-c031,2:22:00,142,6,0,0,116,34,53,33,63,8,13,67,116,24,62,25,37,7,10,16,15,49,99,116,215,2,6,62,99,38,62,12,37,3,10,50,99,19,53,30,63,5,13,15,16,49,116,99,215
1991-301-m035-y017,1:01:00,61,5,0,0,49,19,28,14,21,5,6,33,49,13,34,13,17,5,7,8,8,26,51,59,100,0,2,34,51,21,34,4,17,2,7,25,51,9,28,7,21,1,6,8,8,16,49,41,100
1991-301-a199-f164,1:05:00,65,4,4,46,65,34,46,12,19,0,0,46,65,4,25,12,24,2,6,10,9,16,49,62,114,1,3,25,49,21,25,12,24,4,6,33,49,12,46,7,19,0,0,9,10,19,65,52,114
1991-301-n025-m093,2:31:00,151,7,2,55,100,39,55,27,45,5,7,66,100,12,50,25,49,3,15,15,15,37,99,103,199,7,3,50,99,38,50,24,49,12,15,62,99,16,55,18,45,2,7,15,15,34,100,96,199
