1914,Australasian Championships,580,australian-open,Melbourne Australia,1914.11.23,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1914/results,Arthur O'Hara-Wood,/en/players/arthur-oharawood/o611/overview,arthur-oharawood,o611,1914-580
1915,Australasian Championships,580,australian-open,Brisbane Australia,1915.08.16,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1915/results,Gordon Lowe,/en/players/gordon-lowe/lf73/overview,gordon-lowe,lf73,1915-580
1915,US Championships,560,us-open,New York United States,1915.08.31,128,Outdoor,Grass,/en/scores/archive/us-open/560/1915/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665,1915-560
1916,US Championships,560,us-open,New York United States,1916.08.28,128,Outdoor,Grass,/en/scores/archive/us-open/560/1916/results,Richard Norris Williams,/en/players/richard-norris-williams/w830/overview,richard-norris-williams,w830,1916-560
1917,US Championships,560,us-open,New York United States,1917.08.20,64,Outdoor,Grass,/en/scores/archive/us-open/560/1917/results,Lindley Murray,/en/players/lindley-murray/mt28/overview,lindley-murray,mt28,1917-560
1918,US Championships,560,us-open,New York United States,1918.08.26,128,Outdoor,Grass,/en/scores/archive/us-open/560/1918/results,Lindley Murray,/en/players/lindley-murray/mt28/overview,lindley-murray,mt28,1918-560
1919,Wimbledon,540,wimbledon,London Great Britain,1919.06.23,129,Outdoor,Grass,/en/scores/archive/wimbledon/540/1919/results,Gerald Patterson,/en/players/gerald-patterson/pj50/overview,gerald-patterson,pj50,1919-540
1919,US Championships,560,us-open,New York United States,1919.08.26,128,Outdoor,Grass,/en/scores/archive/us-open/560/1919/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665,1919-560
1919,Australasian Championships,580,australian-open,Sydney Australia,1920.01.22,64,Outdoor,Grass,/en/scores/archive/australian-open/580/1919/results,Algernon Kingscote,/en/players/algernon-kingscote/kg77/overview,algernon-kingscote,kg77,1919-580
1920,Australasian Championships,580,australian-open,Adelaide Australia,1920.03.15,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1920/results,Pat O'Hara-Wood,/en/players/pat-oharawood/o583/overview,pat-oharawood,o583,1920-580
1920,Wimbledon,540,wimbledon,London Great Britain,1920.06.21,129,Outdoor,Grass,/en/scores/archive/wimbledon/540/1920/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1920-540
1920,US Championships,560,us-open,New York United States,1920.08.30,128,Outdoor,Grass,/en/scores/archive/us-open/560/1920/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1920-560
1921,Wimbledon,540,wimbledon,London Great Britain,1921.06.20,129,Outdoor,Grass,/en/scores/archive/wimbledon/540/1921/results,Brian Norton,/en/players/brian-norton/n866/overview,brian-norton,n866,1921-540
1921,US Championships,560,us-open,Philadelphia PA United States,1921.09.09,128,Outdoor,Grass,/en/scores/archive/us-open/560/1921/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1921-560
1921,Australasian Championships,580,australian-open,Perth Australia,1921.12.26,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1921/results,Rhys Gemmell,/en/players/rhys-gemmell/gh60/overview,rhys-gemmell,gh60,1921-580
1922,Wimbledon,540,wimbledon,London Great Britain,1922.06.26,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1922/results,Gerald Patterson,/en/players/gerald-patterson/pj50/overview,gerald-patterson,pj50,1922-540
1922,US Championships,560,us-open,Philadelphia PA United States,1922.09.08,128,Outdoor,Grass,/en/scores/archive/us-open/560/1922/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1922-560
1922,Australasian Championships,580,australian-open,Sydney Australia,1922.12.01,64,Outdoor,Grass,/en/scores/archive/australian-open/580/1922/results,James Anderson,/en/players/james-anderson/ae69/overview,james-anderson,ae69,1922-580
1923,Wimbledon,540,wimbledon,London Great Britain,1923.06.25,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1923/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665,1923-540
1923,Australasian Championships,580,australian-open,Brisbane Australia,1923.08.11,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1923/results,Pat O'Hara-Wood,/en/players/pat-oharawood/o583/overview,pat-oharawood,o583,1923-580
1923,US Championships,560,us-open,Philadelphia PA United States,1923.09.10,64,Outdoor,Grass,/en/scores/archive/us-open/560/1923/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1923-560
1924,Australasian Championships,580,australian-open,Melbourne Australia,1924.01.20,64,Outdoor,Grass,/en/scores/archive/australian-open/580/1924/results,James Anderson,/en/players/james-anderson/ae69/overview,james-anderson,ae69,1924-580
1924,Wimbledon,540,wimbledon,London Great Britain,1924.06.23,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1924/results,Jean Borotra,/en/players/jean-borotra/b820/overview,jean-borotra,b820,1924-540
1924,US Championships,560,us-open,New York United States,1924.08.25,128,Outdoor,Grass,/en/scores/archive/us-open/560/1924/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,1924-560
1925,Australian Championships,580,australian-open,Sydney Australia,1925.01.24,64,Outdoor,Grass,/en/scores/archive/australian-open/580/1925/results,James Anderson,/en/players/james-anderson/ae69/overview,james-anderson,ae69,1925-580
