2017-451,Round of 32,5,1,Andy Murray,mc10,andy-murray,Jeremy Chardy,ca12,jeremy-chardy,1,,60 76(2),2,0,13,6,1,0,2017-451-mc10-ca12,/en/scores/2017/451/MS016/match-stats?isLive=False
2017-451,Round of 32,5,2,Novak Djokovic,d643,novak-djokovic,Jan-Lennard Struff,sl28,jan-lennard-struff,2,,76(1) 63,2,0,13,9,1,0,2017-451-d643-sl28,/en/scores/2017/451/MS031/match-stats?isLive=False
2017-451,Round of 32,5,3,Tomas Berdych,ba47,tomas-berdych,Alessandro Giannessi,g983,alessandro-giannessi,3,Q,76(1) 62,2,0,13,8,1,0,2017-451-ba47-g983,/en/scores/2017/451/MS020/match-stats?isLive=False
2017-451,Round of 32,5,4,David Goffin,gb88,david-goffin,Robin Haase,h756,robin-haase,4,,76(4) 62,2,0,13,8,1,0,2017-451-gb88-h756,/en/scores/2017/451/MS027/match-stats?isLive=False
2017-451,Round of 32,5,5,Jo-Wilfried Tsonga,t786,jo-wilfried-tsonga,Andrey Kuznetsov,kb54,andrey-kuznetsov,5,,61 46 62,2,1,16,9,0,0,2017-451-t786-kb54,/en/scores/2017/451/MS023/match-stats?isLive=False
2017-451,Round of 32,5,6,Ivo Karlovic,k336,ivo-karlovic,Illya Marchenko,me89,illya-marchenko,6,,76(5) 76(0),2,0,14,12,2,0,2017-451-k336-me89,/en/scores/2017/451/MS024/match-stats?isLive=False
2017-451,Round of 32,5,7,Philipp Kohlschreiber,k435,philipp-kohlschreiber,Malek Jaziri,j267,malek-jaziri,7,,62 76(3),2,0,13,8,1,0,2017-451-k435-j267,/en/scores/2017/451/MS019/match-stats?isLive=False
2017-451,Round of 32,5,8,Radek Stepanek,s694,radek-stepanek,Marcos Baghdatis,b837,marcos-baghdatis,Q,8,64 53 (RET),2,0,11,7,0,0,2017-451-s694-b837,/en/scores/2017/451/MS028/match-stats?isLive=False
2017-451,Round of 32,5,9,Nicolas Almagro,a479,nicolas-almagro,Paolo Lorenzi,l503,paolo-lorenzi,,,76(2) 46 63,2,1,17,15,1,0,2017-451-a479-l503,/en/scores/2017/451/MS018/match-stats?isLive=False
2017-451,Round of 32,5,10,Dustin Brown,ba65,dustin-brown,Facundo Bagnis,bf23,facundo-bagnis,,,61 67(2) 64,2,1,18,12,0,1,2017-451-ba65-bf23,/en/scores/2017/451/MS022/match-stats?isLive=False
